filename, language, Properties, Ignore, JavaScript, JSON, Markdown, HTML, Vue, comment, blank, total
d:\Project\learn\src\learn-front\.editorconfig, Properties, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
d:\Project\learn\src\learn-front\.eslintignore, Ignore, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
d:\Project\learn\src\learn-front\.eslintrc.js, JavaScript, 0, 0, 19, 0, 0, 0, 0, 8, 2, 29
d:\Project\learn\src\learn-front\.postcssrc.js, JavaScript, 0, 0, 7, 0, 0, 0, 0, 2, 2, 11
d:\Project\learn\src\learn-front\.prettierrc, JSON, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
d:\Project\learn\src\learn-front\README.md, Markdown, 0, 0, 0, 0, 20, 0, 0, 0, 11, 31
d:\Project\learn\src\learn-front\build\build.js, JavaScript, 0, 0, 35, 0, 0, 0, 0, 0, 7, 42
d:\Project\learn\src\learn-front\build\check-versions.js, JavaScript, 0, 0, 45, 0, 0, 0, 0, 0, 10, 55
d:\Project\learn\src\learn-front\build\utils.js, JavaScript, 0, 0, 80, 0, 0, 0, 0, 5, 17, 102
d:\Project\learn\src\learn-front\build\vue-loader.conf.js, JavaScript, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
d:\Project\learn\src\learn-front\build\webpack.base.conf.js, JavaScript, 0, 0, 85, 0, 0, 0, 0, 4, 4, 93
d:\Project\learn\src\learn-front\build\webpack.dev.conf.js, JavaScript, 0, 0, 82, 0, 0, 0, 0, 7, 7, 96
d:\Project\learn\src\learn-front\build\webpack.prod.conf.js, JavaScript, 0, 0, 118, 0, 0, 0, 0, 24, 8, 150
d:\Project\learn\src\learn-front\config\dev.env.js, JavaScript, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
d:\Project\learn\src\learn-front\config\index.js, JavaScript, 0, 0, 31, 0, 0, 0, 0, 30, 16, 77
d:\Project\learn\src\learn-front\config\prod.env.js, JavaScript, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
d:\Project\learn\src\learn-front\config\test.env.js, JavaScript, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
d:\Project\learn\src\learn-front\index.html, HTML, 0, 0, 0, 0, 0, 11, 0, 1, 1, 13
d:\Project\learn\src\learn-front\package-lock.json, JSON, 0, 0, 0, 16810, 0, 0, 0, 0, 1, 16811
d:\Project\learn\src\learn-front\package.json, JSON, 0, 0, 0, 95, 0, 0, 0, 0, 1, 96
d:\Project\learn\src\learn-front\src\App.vue, Vue, 0, 0, 0, 0, 0, 0, 42, 2, 3, 47
d:\Project\learn\src\learn-front\src\api\login.js, JavaScript, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
d:\Project\learn\src\learn-front\src\api\user.js, JavaScript, 0, 0, 43, 0, 0, 0, 0, 0, 4, 47
